source_id,citation,population,reference_method,main_metric,interpretation,boundary
Boer_1979_VK3PCFJV,"Boer et al., 1979",Различные физиологические условия,референтный метод CO,"r=0,61 абсолютный; r=0,84 изменения",Изменения лучше абсолютных значений,"Корреляция, не согласие"
Spiering_1998_RB87XMRW,"Spiering et al., 1998",5 здоровых мужчин; 35 пар,разведение красителя,"bias −2,9 л/мин; LoA −9,0…3,2",Неприемлемое согласие,Очень малая выборка
Zoremba_2007_Q3TSQIRI,"Zoremba et al., 2007",50 критически больных,PAC/PiCCO термодилюция,PE≈26%,Контекстно приемлемо,Конкретное устройство и популяция
Noori_2012_KISTS8R8,"Noori et al., 2012",20 новорожденных; 115 пар,эхокардиография,bias −4 мл/мин; precision 234 мл/мин,"Малое среднее смещение, широкая вариабельность",Оба метода имеют ошибку
Blohm_2014_SS84XB5Z,"Blohm et al., 2014",72 пациента PICU,эхокардиография,"MPE 26,16%; у недоношенных 46,27%",Сильная зависимость от подгруппы,Вентиляция и масса влияют
Cox_2017_QHKPBERQ,"Cox et al., 2017",50 кардиохирургических пациентов,непрерывная PAC-термодилюция,PE>30% во всех точках,Нет взаимозаменяемости; плохой trending,ASA III–IV
Hsu_2017_CWDA42JG,"Hsu et al., 2017",36 недоношенных; 105 пар,эхокардиография,"PE 28,6%",Погранично приемлемо,Высокий CO и ВЧ-вентиляция ухудшают
Altamirano_Diaz_2018_9NHAZ7IC,"Altamirano-Diaz et al., 2018",28 после CoA + 27 контролей,допплер-эхокардиография,"PE 28,1% в контроле; 44,2% вместе",Анатомически зависимое согласие,LVOT влияет на референт
Feng_2020_TTBLNRTL,"Feng et al., 2020",20 рожениц; 124 пары,эхокардиография,PE 62% CO / 60% SV; trending 85% / 82%,"Плохие абсолютные значения, умеренный trending",Малая специфическая выборка
Greiwe_2024_GGUPHZI9,"Greiwe et al., 2024",41 после CABG; 157 пар,термодилюция,PE 47%; trending 48%,Неприемлемо,Послеоперационная выборка
MILES_1990_MCVHV3JZ,"MILES et al., 1990",95 пациентов + контроль,радионуклидная вентрикулография,"r −0,17…0,16",ИКГ не измеряет LVEF клинически надежно,Ранний алгоритм
BOWLING_1993_SXQNFSU4,"BOWLING et al., 1993",20 взрослых,радионуклидная вентрикулография,"bias −8,85 п.п.; LoA −23,2…5,5",Нет согласия LVEF,Малая выборка
Meer_1996_BC68E8GK,"Meer et al., 1996",24 пациента,референтная LVEF,"r 0,29 / 0,55 / 0,75",Результат зависит от формулы,Корреляция не равна согласованию
Thompson_2008_NFFHGJVW,"Thompson et al., 2008",52 пациента с ХСН,LVEF,"AUC 0,86; Se 93%; Sp 85%",STR возможен как скрининговый признак,Ретроспективно; внешний порог не проверен
